text	provenance	convention	old	new
Spike synchrony, which occurs in various cortical areas in response to specific perception, action, and memory tasks, has sparked a long-standing debate on the nature of temporal organization in cortex.	Semantic Scholar	renown	1	0
Here we study a new foreperiod effect in an audiovisual attention-shifting oddball task in which attention-shift cues directed the attention of subjects to impendent deviant stimuli of a given modality and therefore acted as warning signals for these deviants.	Semantic Scholar	renown	1	0
Our work is motivated by the fact that a good image prior should favor sharp images over blurred ones.	Semantic Scholar	renown	1	0
The robustness of the proposed descriptors was assessed further during the large object discrimination with a humanoid.	Semantic Scholar	renown	1	0
In this survey, we present an up-to-date critical review of the existing literatures on face alignment, focusing on those methods addressing overall difficulties and challenges of this topic under uncontrolled conditions.	Semantic Scholar	renown	1	1
To compute a realistic FRS that covers an agile flight envelope, we consider first-order aerodynamic effects, which have the most salient influence on the vehicle.	Semantic Scholar	renown	1	0
Experiments done in a shopping mall have shown that the robot was successful in choosing the people to approach, and the reactions from users in the interviews were very positive.	Semantic Scholar	renown	1	1
Sonic explanations for the so-called health attacks have long dominated media reports, propelled by peculiar sounds heard and auditory symptoms experienced.	Semantic Scholar	renown	1	0
This task is challenging because of the need to output categorization decisions based on partial evidence—the action has not finished and not all information about the action has been observed.	Semantic Scholar	renown	1	0
It is noteworthy to mention that this model also has also the potential to synthesize new videos showing variations of one specific emotion on the face of unknown subjects.	Semantic Scholar	renown	1	1
